BR_ID,Business_Requirement,FR_ID,Functional_Requirement,Priority,US_ID,User_Story,TestCase_ID,Test_Case_Description,Status
BL-PRJ-004.1,"Type Safety Enforcement",FR-PRJ-004.3,"Validation linh hoạt",Should-have,US-PRJ-004.3,"Là User, tôi muốn hệ thống kiểm tra trường bắt buộc (is_required)",TC-PRJ-004.3.2,"Verify không cho phép để trống trường có cấu hình is_required = true",Not Started
BL-PRJ-004.3,"Indexing cho Filter/Sort",FR-PRJ-004.4,"Lọc và Sắp xếp",Should-have,US-PRJ-004.4,"Là User, tôi muốn lọc và sắp xếp danh sách Task theo Custom Field",TC-PRJ-004.4.1,"Verify filter và sort theo Custom Field trả về đúng kết quả với thời gian phản hồi < 350ms",Not Started
BL-PRJ-004.2,"Soft Delete Field",FR-PRJ-004.1,"Tạo Trường tùy chỉnh",Must-have,US-PRJ-004.1,"Là PM, tôi muốn xóa Custom Field mà không làm mất lịch sử dữ liệu của Task",TC-PRJ-004.1.2,"Verify xóa Custom Field thực hiện Soft-delete (is_deleted=true) và dữ liệu cũ không bị xóa cứng",Not Started
BL-PRJ-006.2,"Hierarchy Depth Limit",FR-PRJ-006.1,"Tạo và Quản lý Subtask",Must-have,US-PRJ-006.1,"Là User, tôi muốn chia nhỏ Task thành các Subtask có Assignee và Deadline độc lập",TC-PRJ-006.1.1,"Verify tạo Subtask 1 cấp độ thành công với Assignee và Deadline riêng biệt",Not Started
BL-PRJ-006.2,"Hierarchy Depth Limit",FR-PRJ-006.1,"Tạo và Quản lý Subtask",Must-have,US-PRJ-006.1,"Là User, tôi muốn chia nhỏ Task thành các Subtask có Assignee và Deadline độc lập",TC-PRJ-006.1.2,"Verify chặn tạo Subtask bên trong một Subtask (Cấp 2) bằng ẩn nút và chặn API HTTP 400",Not Started
BL-PRJ-006.1,"Progress Roll-up Calculation",FR-PRJ-006.2,"Cập nhật trạng thái Subtask",Must-have,US-PRJ-006.2,"Là Assignee, tôi muốn cập nhật trạng thái hoàn thành cho Subtask của mình",TC-PRJ-006.2.1,"Verify tích chọn hoàn thành Subtask thành công",Not Started
BL-PRJ-006.1,"Progress Roll-up Calculation",FR-PRJ-006.3,"Progress Roll-up",Must-have,US-PRJ-006.3,"Là User, tôi muốn thấy thanh tiến độ % của Task cha tự động cập nhật khi Subtask thay đổi",TC-PRJ-006.3.1,"Verify Progress Roll-up tính đúng theo công thức: (Completed_Subtasks / Total_Subtasks) * 100",Not Started
BL-PRJ-006.3,"Parent-Child Constraint",FR-PRJ-006.2,"Cập nhật trạng thái Subtask",Must-have,US-PRJ-006.2,"Là User, tôi muốn đảm bảo Task cha không bị đóng khi Subtask chưa xong",TC-PRJ-006.2.2,"Verify từ chối kéo Task cha sang DONE (HTTP 400) nếu vẫn còn ít nhất 1 Subtask Incomplete",Not Started
None,"N/A",FR-PRJ-006.4,"Subtask View Mode",Should-have,US-PRJ-006.4,"Là User, tôi muốn mở rộng xem Subtask dạng cây thụt lề trên Table View",TC-PRJ-006.4.1,"Verify click icon Expand hiển thị danh sách Subtasks trực tiếp dưới hàng Task cha",Not Started
BL-PRJ-018.1,"Dung lượng Workspace",FR-PRJ-018.1,"Tạo mới Project (Khởi tạo)",Must-have,US-PRJ-018.1,"Là PM, tôi muốn tạo dự án mới trong giới hạn gói cước của Workspace",TC-PRJ-018.1.1,"Verify chặn tạo Project mới khi Workspace gói Free đã đạt giới hạn 3 Active Projects (HTTP 402)",Not Started
BL-PRJ-018.2,"Template Cloning Behavior",FR-PRJ-018.2,"Sử dụng Project Templates",Must-have,US-PRJ-018.2,"Là PM, tôi muốn khởi tạo nhanh dự án từ Template có sẵn cấu trúc chuẩn",TC-PRJ-018.2.1,"Verify nhân bản toàn vẹn cấu trúc Workflow, Custom Fields và reset Tasks mẫu (về To Do, null Assignee, shift Due Date)",Not Started
BL-PRJ-018.2,"Template Cloning Behavior",FR-PRJ-018.3,"Lưu Project thành Template",Should-have,US-PRJ-018.3,"Là PM, tôi muốn lưu một dự án đang chạy thành Template dùng chung cho toàn Workspace",TC-PRJ-018.3.1,"Verify lưu dự án thành Template thành công (is_template = true) và xuất hiện trong Workspace Template List",Not Started
BL-PRJ-018.3,"Archived Immutability",FR-PRJ-018.4,"Archive / Đóng Project",Must-have,US-PRJ-018.4,"Là PM, tôi muốn lưu trữ (Archive) dự án kết thúc để đóng băng dữ liệu và làm gọn giao diện",TC-PRJ-018.4.1,"Verify dự án Archived chuyển sang Read-only toàn bộ và ẩn khỏi Portfolio, My Tasks, Workload View",Not Started
None,"N/A",FR-PRJ-018.5,"Khôi phục Project (Unarchive)",Must-have,US-PRJ-018.5,"Là Admin, tôi muốn khôi phục dự án đã Archive về trạng thái hoạt động khi có yêu cầu",TC-PRJ-018.5.1,"Verify Unarchive dự án thành công, đưa status về ACTIVE và hiển thị lại bình thường trên giao diện",Not Started
